rid,work,lang,author,role,written
bdr:MW21939,bdr:WA3JT13481,,,no creator on the work,no
bdr:MW1PD159541,bdr:WA4PD1990,,,no creator on the work,no
bdr:MW3CN53,bdr:WA4PD1990,,,no creator on the work,no
bdr:MW1KG14,bdr:WA1KG14,,,no creator on the work,no
bdr:MW30199,bdr:WA30199,,,no creator on the work,no
bdr:MW2PD20866,bdr:WA2PD20866,,,no creator on the work,no
bdr:MW2PD17514,bdr:WA2PD17514,,,no creator on the work,no
bdr:MW3CN2409,bdr:WA3CN2409,,,no creator on the work,no
bdr:MW3KG230,bdr:WA1KG21014,,,no creator on the work,no
bdr:MW22096,bdr:WA22096,bo-x-ewts,gter bdag gling pa 'gyur med rdo rje/,main author,yes
bdr:MW3CN21680,bdr:WA15098,bo-x-ewts,dge rtse paN chen 'gyur med tshe dbang mchog grub/,main author,yes
bdr:MW23893,bdr:WA1PD45150,bo-x-ewts,zhabs dkar ba tshogs drug rang grol/,main author,yes
bdr:MW2PD17461,bdr:WA2PD17461,bo-x-ewts,mkhan chen pad+ma badz+ra/,main author,yes
bdr:MW1PD26799,bdr:WA1PD26799,bo-x-ewts,sprul sku tshul lo/,main author,yes
bdr:MW00KG03976,bdr:WA00KG03976,bo,འཇིགས་མེད་ཕུན་ཚོགས་འབྱུང་གནས།,main author,yes
bdr:MW2PD16917,bdr:WA2PD16917,bo-x-ewts,mkhan po a khyung /,requester,yes
bdr:MW8751,bdr:WA8751,bo-x-ewts,gter ston mchog gyur gling pa/,tertön,yes
bdr:MW3CN2967,bdr:WA3CN2967,bo-x-ewts,rig 'dzin hUM ral bdud 'dul/,tertön,yes
bdr:MW3PD1098,bdr:WA1KG4616,bo-x-ewts,spo bo gter ston bdud 'dul rdo rje/,tertön,yes
bdr:MW29031,bdr:WA29031,bo-x-ewts,ja bzi sprul sku pad+ma gar dbang gling pa/,tertön,yes
bdr:MW3CN7614,bdr:WA3CN7614,bo-x-ewts,rig 'dzin nyi ma grags pa/,tertön,yes
bdr:MW4PD1389,bdr:WA4PD1389,bo-x-ewts,gter chen 'bar ba'i rdo rje/,tertön,yes
bdr:MW2PD17477,bdr:WA2PD17459,bo-x-ewts,gter ston rin chen gling pa/,tertön,yes
bdr:MW23453,bdr:WA23453,bo-x-ewts,rig 'dzin rgod kyi ldem 'phru can/,tertön,yes
bdr:MW3CN21538,bdr:WA3CN21538,bo,གཏེར་སྟོན་པདྨ་ལས་འབྲེལ་རྩལ།,tertön,yes
bdr:MW22247,bdr:WA3CN4615,bo-x-ewts,myang nyi ma 'od zer/,tertön,yes
bdr:MW23618,bdr:WA23618,bo-x-ewts,kun mkhyen 'jigs med gling pa/,tertön,yes
bdr:MW12827,bdr:WA3CN501,bo-x-ewts,klong chen rab 'byams pa dri med 'od zer/,main author,yes
bdr:MW1KG13603,bdr:WA1KG13603,bo-x-ewts,mkhan po ngag dga',main author,yes
bdr:MW23760,bdr:WA23760,bo-x-ewts,klong chen rab 'byams pa dri med 'od zer/,main author,yes
bdr:MW1KG13017,bdr:WA1KG13017,bo-x-ewts,'ju mi pham 'jam dbyangs rnam rgyal rgya mtsho/,main author,yes
bdr:MW2KG201051,bdr:WA2KG201051,,,no creator on the work,no
bdr:MW1KG4313,bdr:WA1KG4313,,,no creator on the work,no
bdr:MW1KG13617,bdr:WA3KG737,bo-x-ewts,sga ston ngag dbang legs pa/ ngor mkhan chen 65 ngag dbang blo gros snying po/ ngor pa dpon slob blo gter dbang po/,compiler,yes
bdr:MW2PD14777,bdr:WA21295,,,no creator on the work,no
bdr:MW4PD3593,bdr:WA4PD3593,,,no creator on the work,no
bdr:MW1KG17189,bdr:WA1KG17189,,,no creator on the work,no
bdr:MW3CN751,bdr:WA3CN751,,,no creator on the work,no
bdr:MW3CN3019,bdr:WA1NLM597,,,no creator on the work,no
bdr:MW23635,bdr:WA23635,,,no creator on the work,no
bdr:MW1KG4312,bdr:WA1KG4312,,,no creator on the work,no
bdr:MW3CN15305,bdr:WA3CN15305,,,no creator on the work,no
bdr:MW4PD2084,bdr:WA4PD2084,,,no creator on the work,no
bdr:MW3CN12981,bdr:WA3CN12981,,,no creator on the work,no
bdr:MW3CN5138,bdr:WA3CN5138,,,no creator on the work,no
bdr:MW3CN13006,bdr:WA3CN13006,,,no creator on the work,no
bdr:MW3CN12210,bdr:WA3CN12210,,,no creator on the work,no
bdr:MW20749,bdr:WA20749,,,no creator on the work,no
bdr:MW20876,bdr:WA20876,,,no creator on the work,no
bdr:MW2KG200899,bdr:WA20876,,,no creator on the work,no
bdr:MW4PD1417,bdr:WA4PD1417,,,no creator on the work,no
bdr:MW4PD1386,bdr:WA4PD1386,,,no creator on the work,no
bdr:MW00JW501203,bdr:WA00JW501203,,,no creator on the work,no
bdr:MW23189,bdr:WA23189,,,no creator on the work,no
bdr:MW23792,bdr:WA23792,bo-x-ewts,myang nyi ma 'od zer/ gu ru chos dbang /,tertön,yes
bdr:MW3CN2232,bdr:WA3CN2232,,,no creator on the work,no
bdr:MW23779,bdr:WA23779,,,no creator on the work,no
bdr:MW23894,bdr:WA23894,,,no creator on the work,no
bdr:MW3CN12887,bdr:WA3CN12887,,,no creator on the work,no
bdr:MW3CN2221,bdr:WA3CN2221,,,no creator on the work,no
bdr:MW3CN2403,bdr:WA3CN2403,,,no creator on the work,no
bdr:MW3CN2409,bdr:WA3CN2409,,,no creator on the work,no
bdr:MW1PD166109,bdr:WA1PD166109,,,no creator on the work,no
bdr:MW3PD1288,bdr:WA3PD1288,,,no creator on the work,no
bdr:MW3CN477,bdr:WA8039,bo-x-ewts,karma pa 08 mi bskyod rdo rje/,main author,yes
bdr:MW3CN12559,bdr:WA3CN12559,,,no creator on the work,no
bdr:MW23930,bdr:WA23930,,,no creator on the work,no
bdr:MW8CZ113,bdr:WA8CZ113,,,no creator on the work,no
bdr:MW3CN18523,bdr:WA3CN18523,,,no creator on the work,no
bdr:MW4CZ355759,bdr:WA4CZ355759,,,no creator on the work,no
bdr:MW8LS16413,bdr:WA8LS16413,,,no creator on the work,no
bdr:MW23660,bdr:WA23660,bo-x-ewts,karma pa 08 mi bskyod rdo rje/,main author,yes
bdr:MW1KG12546,bdr:WA1KG12546,,,no creator on the work,no
bdr:MW23736,bdr:WA23736,,,no creator on the work,no
bdr:MW1CZ1095,bdr:WA1CZ1095,,,no creator on the work,no
bdr:MW23904,bdr:WA23904,,,no creator on the work,no
bdr:MW2KG5008,bdr:WA2KG5008,,,no creator on the work,no
bdr:MW4PD1382,bdr:WA4PD1382,,,no creator on the work,no
bdr:MW1KG22060,bdr:WA1KG22060,,,no creator on the work,no
bdr:MW23619,bdr:WA23619,,,no creator on the work,no
bdr:MW23158,bdr:WA23158,bo-x-ewts,rgyal dbang rin chen phun tshogs/,tertön,yes
bdr:MW00KG03672,bdr:WA00KG03672,,,no creator on the work,no
bdr:MW1KG12172,bdr:WA1KG12172,,,no creator on the work,no
bdr:MW21962,bdr:WA21962,,,no creator on the work,no
bdr:MW23833,bdr:WA23833,bo-x-ewts,rgyal dbang rin chen phun tshogs/,tertön,yes
bdr:MW1KG4277,bdr:WA1KG4277,,,no creator on the work,no
bdr:MW1KG21995,bdr:WA1KG21995,,,no creator on the work,no
bdr:MW21141,bdr:WA21141,,,no creator on the work,no
bdr:MW23652,bdr:WA23652,,,no creator on the work,no
bdr:MW23734,bdr:WA23734,,,no creator on the work,no
bdr:MW23767,bdr:WA23767,,,no creator on the work,no
bdr:MW2KG232484,bdr:WA2KG232484,,,no creator on the work,no
